Date;Counts
09.04.2024 00:00;0
10.04.2024 00:00;0
11.04.2024 00:00;0
12.04.2024 00:00;0
14.04.2024 00:00;0
15.04.2024 00:00;6
16.04.2024 00:00;1
17.04.2024 00:00;0
18.04.2024 00:00;0
19.04.2024 00:00;5
20.04.2024 00:00;7
21.04.2024 00:00;5
22.04.2024 00:00;6
23.04.2024 00:00;1
24.04.2024 00:00;2
25.04.2024 00:00;2
26.04.2024 00:00;3
27.04.2024 00:00;13
28.04.2024 00:00;7
29.04.2024 00:00;1
30.04.2024 00:00;2
03.05.2024 00:00;0
04.05.2024 00:00;1
05.05.2024 00:00;0
06.05.2024 00:00;2
07.05.2024 00:00;0
08.05.2024 00:00;2
09.05.2024 00:00;0
10.05.2024 00:00;2
11.05.2024 00:00;4
12.05.2024 00:00;6
13.05.2024 00:00;2
14.05.2024 00:00;5
15.05.2024 00:00;1
16.05.2024 00:00;0
17.05.2024 00:00;3
18.05.2024 00:00;0
19.05.2024 00:00;0
20.05.2024 00:00;1
21.05.2024 00:00;4
22.05.2024 00:00;1
23.05.2024 00:00;2
24.05.2024 00:00;6
25.05.2024 00:00;1
26.05.2024 00:00;2
27.05.2024 00:00;2
28.05.2024 00:00;1
29.05.2024 00:00;1
30.05.2024 00:00;1
31.05.2024 00:00;2
01.06.2024 00:00;0
02.06.2024 00:00;0
03.06.2024 00:00;1
04.06.2024 00:00;5
05.06.2024 00:00;13
06.06.2024 00:00;7
07.06.2024 00:00;5
08.06.2024 00:00;4
09.06.2024 00:00;4
10.06.2024 00:00;3
11.06.2024 00:00;2
12.06.2024 00:00;2
13.06.2024 00:00;4
14.06.2024 00:00;0
15.06.2024 00:00;2
16.06.2024 00:00;0
17.06.2024 00:00;3
18.06.2024 00:00;3
19.06.2024 00:00;15
20.06.2024 00:00;6
21.06.2024 00:00;2
22.06.2024 00:00;0
23.06.2024 00:00;1
24.06.2024 00:00;7
25.06.2024 00:00;1
26.06.2024 00:00;6
27.06.2024 00:00;4
28.06.2024 00:00;4
29.06.2024 00:00;6
30.06.2024 00:00;1
01.07.2024 00:00;2
02.07.2024 00:00;1
03.07.2024 00:00;2
04.07.2024 00:00;3
05.07.2024 00:00;5
06.07.2024 00:00;2
07.07.2024 00:00;3
08.07.2024 00:00;4
09.07.2024 00:00;5
10.07.2024 00:00;10
11.07.2024 00:00;5
12.07.2024 00:00;1
13.07.2024 00:00;1
14.07.2024 00:00;2
15.07.2024 00:00;2
16.07.2024 00:00;3
17.07.2024 00:00;3
18.07.2024 00:00;6
19.07.2024 00:00;3
20.07.2024 00:00;0
21.07.2024 00:00;4
22.07.2024 00:00;1
23.07.2024 00:00;4
24.07.2024 00:00;3
25.07.2024 00:00;8
26.07.2024 00:00;8
27.07.2024 00:00;11
28.07.2024 00:00;4
29.07.2024 00:00;2
30.07.2024 00:00;0
31.07.2024 00:00;0
01.08.2024 00:00;3
02.08.2024 00:00;1
03.08.2024 00:00;4
04.08.2024 00:00;1
05.08.2024 00:00;1
06.08.2024 00:00;3
07.08.2024 00:00;2
08.08.2024 00:00;1
09.08.2024 00:00;2
10.08.2024 00:00;1
11.08.2024 00:00;0
12.08.2024 00:00;0
13.08.2024 00:00;0
14.08.2024 00:00;0
15.08.2024 00:00;0
16.08.2024 00:00;0
17.08.2024 00:00;0
18.08.2024 00:00;0
19.08.2024 00:00;0
20.08.2024 00:00;0
21.08.2024 00:00;0
22.08.2024 00:00;0
23.08.2024 00:00;0
24.08.2024 00:00;0
25.08.2024 00:00;0
26.08.2024 00:00;0
27.08.2024 00:00;1
28.08.2024 00:00;4
29.08.2024 00:00;6
30.08.2024 00:00;1
31.08.2024 00:00;0
01.09.2024 00:00;2
02.09.2024 00:00;0
03.09.2024 00:00;0
04.09.2024 00:00;0
05.09.2024 00:00;0
06.09.2024 00:00;1
07.09.2024 00:00;1
08.09.2024 00:00;0
09.09.2024 00:00;1
10.09.2024 00:00;1
11.09.2024 00:00;2
12.09.2024 00:00;0
13.09.2024 00:00;0
14.09.2024 00:00;0
15.09.2024 00:00;1
16.09.2024 00:00;4
17.09.2024 00:00;1
18.09.2024 00:00;1
19.09.2024 00:00;0
20.09.2024 00:00;1
21.09.2024 00:00;1
22.09.2024 00:00;1
23.09.2024 00:00;0
24.09.2024 00:00;0
25.09.2024 00:00;1
26.09.2024 00:00;0
27.09.2024 00:00;1
28.09.2024 00:00;0
29.09.2024 00:00;0
30.09.2024 00:00;0
01.10.2024 00:00;0
02.10.2024 00:00;0
