Date;Counts
11.04.2024 00:00;0
12.04.2024 00:00;0
13.04.2024 00:00;0
14.04.2024 00:00;0
15.04.2024 00:00;2
16.04.2024 00:00;1
17.04.2024 00:00;1
18.04.2024 00:00;0
19.04.2024 00:00;1
20.04.2024 00:00;1
21.04.2024 00:00;2
22.04.2024 00:00;0
23.04.2024 00:00;9
24.04.2024 00:00;7
25.04.2024 00:00;20
26.04.2024 00:00;10
27.04.2024 00:00;3
28.04.2024 00:00;10
29.04.2024 00:00;35
30.04.2024 00:00;87
01.05.2024 00:00;34
02.05.2024 00:00;2
03.05.2024 00:00;6
04.05.2024 00:00;5
05.05.2024 00:00;2
06.05.2024 00:00;3
07.05.2024 00:00;2
08.05.2024 00:00;4
09.05.2024 00:00;6
10.05.2024 00:00;23
11.05.2024 00:00;17
12.05.2024 00:00;26
13.05.2024 00:00;31
14.05.2024 00:00;21
15.05.2024 00:00;5
16.05.2024 00:00;5
17.05.2024 00:00;9
18.05.2024 00:00;3
19.05.2024 00:00;4
20.05.2024 00:00;8
21.05.2024 00:00;7
22.05.2024 00:00;4
23.05.2024 00:00;3
24.05.2024 00:00;15
25.05.2024 00:00;8
26.05.2024 00:00;4
27.05.2024 00:00;5
28.05.2024 00:00;16
29.05.2024 00:00;17
30.05.2024 00:00;3
31.05.2024 00:00;2
01.06.2024 00:00;3
02.06.2024 00:00;2
03.06.2024 00:00;5
04.06.2024 00:00;20
05.06.2024 00:00;41
06.06.2024 00:00;21
07.06.2024 00:00;39
08.06.2024 00:00;36
09.06.2024 00:00;24
10.06.2024 00:00;20
11.06.2024 00:00;21
12.06.2024 00:00;24
13.06.2024 00:00;25
14.06.2024 00:00;11
15.06.2024 00:00;13
16.06.2024 00:00;4
17.06.2024 00:00;18
18.06.2024 00:00;35
19.06.2024 00:00;76
20.06.2024 00:00;62
21.06.2024 00:00;20
22.06.2024 00:00;6
23.06.2024 00:00;9
24.06.2024 00:00;26
25.06.2024 00:00;19
26.06.2024 00:00;33
27.06.2024 00:00;42
28.06.2024 00:00;60
29.06.2024 00:00;51
30.06.2024 00:00;17
01.07.2024 00:00;25
02.07.2024 00:00;18
03.07.2024 00:00;17
04.07.2024 00:00;41
05.07.2024 00:00;28
06.07.2024 00:00;24
07.07.2024 00:00;16
08.07.2024 00:00;32
09.07.2024 00:00;61
10.07.2024 00:00;96
11.07.2024 00:00;62
12.07.2024 00:00;28
13.07.2024 00:00;12
14.07.2024 00:00;13
15.07.2024 00:00;54
16.07.2024 00:00;54
17.07.2024 00:00;33
18.07.2024 00:00;39
19.07.2024 00:00;46
20.07.2024 00:00;58
21.07.2024 00:00;26
22.07.2024 00:00;15
23.07.2024 00:00;35
24.07.2024 00:00;55
25.07.2024 00:00;50
26.07.2024 00:00;105
27.07.2024 00:00;69
28.07.2024 00:00;36
29.07.2024 00:00;46
30.07.2024 00:00;109
31.07.2024 00:00;60
01.08.2024 00:00;42
02.08.2024 00:00;35
03.08.2024 00:00;39
04.08.2024 00:00;24
05.08.2024 00:00;30
06.08.2024 00:00;54
07.08.2024 00:00;40
08.08.2024 00:00;76
09.08.2024 00:00;115
10.08.2024 00:00;31
11.08.2024 00:00;37
12.08.2024 00:00;29
13.08.2024 00:00;39
14.08.2024 00:00;49
15.08.2024 00:00;43
16.08.2024 00:00;36
17.08.2024 00:00;31
18.08.2024 00:00;9
19.08.2024 00:00;37
20.08.2024 00:00;23
21.08.2024 00:00;26
22.08.2024 00:00;33
23.08.2024 00:00;73
24.08.2024 00:00;52
25.08.2024 00:00;11
26.08.2024 00:00;20
27.08.2024 00:00;23
28.08.2024 00:00;45
29.08.2024 00:00;65
30.08.2024 00:00;36
31.08.2024 00:00;37
01.09.2024 00:00;35
02.09.2024 00:00;30
03.09.2024 00:00;48
04.09.2024 00:00;14
05.09.2024 00:00;5
06.09.2024 00:00;24
07.09.2024 00:00;29
08.09.2024 00:00;25
09.09.2024 00:00;8
10.09.2024 00:00;24
11.09.2024 00:00;16
12.09.2024 00:00;17
13.09.2024 00:00;16
14.09.2024 00:00;54
15.09.2024 00:00;23
16.09.2024 00:00;27
17.09.2024 00:00;43
18.09.2024 00:00;14
19.09.2024 00:00;14
20.09.2024 00:00;57
21.09.2024 00:00;36
22.09.2024 00:00;53
23.09.2024 00:00;9
24.09.2024 00:00;12
25.09.2024 00:00;17
26.09.2024 00:00;22
27.09.2024 00:00;11
28.09.2024 00:00;14
29.09.2024 00:00;7
30.09.2024 00:00;19
01.10.2024 00:00;11
02.10.2024 00:00;0
