Date;Counts
15.04.2025;
17.04.2025;
19.04.2025;
22.04.2025;0.39
24.04.2025;0.73
26.04.2025;0.0
29.04.2025;0.0
01.05.2025;0.0
03.05.2025;2.11
06.05.2025;
08.05.2025;
10.05.2025;0.43
13.05.2025;0.35
15.05.2025;0.0
17.05.2025;0.0
20.05.2025;0.45
22.05.2025;0.46
24.05.2025;1.03
27.05.2025;0.31
29.05.2025;0.0
31.05.2025;0.0
03.06.2025;0.41
05.06.2025;11.84
07.06.2025;15.82
10.06.2025;106.7
12.06.2025;1.34
14.06.2025;0.3
17.06.2025;13.25
19.06.2025;898.29
21.06.2025;171.43
24.06.2025;11817.8
26.06.2025;2671.07
28.06.2025;47684.78
01.07.2025;2047.77
03.07.2025;3328.21
05.07.2025;411.96
08.07.2025;230.75
10.07.2025;75857.96
12.07.2025;56051.34
15.07.2025;52279.58
17.07.2025;11721.83
19.07.2025;928.4
22.07.2025;2065.17
24.07.2025;7458.89
26.07.2025;4483.26
29.07.2025;3887.91
31.07.2025;21512.13
02.08.2025;3526.21
05.08.2025;69.93
07.08.2025;11.61
09.08.2025;397.22
12.08.2025;818.77
14.08.2025;40363.49
16.08.2025;10260.88
19.08.2025;1569.71
21.08.2025;1417.83
23.08.2025;96.23
26.08.2025;992.28
