Date;Counts
14.04.2025 00:00;0.25
16.04.2025 00:00;0.15
18.04.2025 00:00;0
21.04.2025 00:00;0.16
23.04.2025 00:00;1.69
25.04.2025 00:00;0
28.04.2025 00:00;0
30.04.2025 00:00;1.04
02.05.2025 00:00;0.24
05.05.2025 00:00;0.08
07.05.2025 00:00;0
09.05.2025 00:00;0.12
12.05.2025 00:00;0.14
14.05.2025 00:00;0
16.05.2025 00:00;0.12
19.05.2025 00:00;0
21.05.2025 00:00;2.22
23.05.2025 00:00;45.21
26.05.2025 00:00;3.48
28.05.2025 00:00;0.25
30.05.2025 00:00;40.87
02.06.2025 00:00;0.77
04.06.2025 00:00;303.3
06.06.2025 00:00;276.13
09.06.2025 00:00;58.55
11.06.2025 00:00;1931.16
13.06.2025 00:00;196.25
16.06.2025 00:00;139.97
18.06.2025 00:00;661.06
20.06.2025 00:00;25.62
23.06.2025 00:00;NA
25.06.2025 00:00;113.64
27.06.2025 00:00;127.72
30.06.2025 00:00;NA
02.07.2025 00:00;0.02
04.07.2025 00:00;527.43
07.07.2025 00:00;2258.4
09.07.2025 00:00;461.74
11.07.2025 00:00;203.03
14.07.2025 00:00;334.95
16.07.2025 00:00;237.66
18.07.2025 00:00;3172.31
21.07.2025 00:00;3244.67
23.07.2025 00:00;13601.6
25.07.2025 00:00;3981.13
28.07.2025 00:00;30639.54
30.07.2025 00:00;13025.57
01.08.2025 00:00;NA
04.08.2025 00:00;NA
06.08.2025 00:00;NA
08.08.2025 00:00;NA
11.08.2025 00:00;NA
13.08.2025 00:00;NA
15.08.2025 00:00;NA
18.08.2025 00:00;442.57
20.08.2025 00:00;62.88
22.08.2025 00:00;637.81
25.08.2025 00:00;NA
