Date;Counts
14.04.2025 00:00;9.72
16.04.2025 00:00;0.31
18.04.2025 00:00;0.01
21.04.2025 00:00;0.29
23.04.2025 00:00;1.05
25.04.2025 00:00;0
28.04.2025 00:00;1.57
30.04.2025 00:00;0
02.05.2025 00:00;0.1
05.05.2025 00:00;0
07.05.2025 00:00;0.34
09.05.2025 00:00;0.36
12.05.2025 00:00;0.19
14.05.2025 00:00;0
16.05.2025 00:00;0
19.05.2025 00:00;0.07
21.05.2025 00:00;0
23.05.2025 00:00;0.68
26.05.2025 00:00;0
28.05.2025 00:00;2.61
30.05.2025 00:00;NA
02.06.2025 00:00;0
04.06.2025 00:00;3
06.06.2025 00:00;0.59
09.06.2025 00:00;27.51
11.06.2025 00:00;0
13.06.2025 00:00;2.2
16.06.2025 00:00;0.3
18.06.2025 00:00;0.18
