id,start,oospore_maturation,oospore_germination,oospore_dispersion,oospore_infection,incubation_days,completed_incubation,sporulations,sporangia_densities,spore_lifespan_days,secondary_infections,oospore_infection_strength,secondary_infection_strengths
17190,2025-04-30 10:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17196,2025-04-30 11:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17202,2025-04-30 12:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17208,2025-04-30 13:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17214,2025-04-30 14:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17220,2025-04-30 15:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17226,2025-04-30 16:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17232,2025-04-30 17:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17238,2025-04-30 18:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17244,2025-04-30 19:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17250,2025-04-30 20:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17256,2025-04-30 21:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17262,2025-04-30 22:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17268,2025-04-30 23:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17274,2025-05-01 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17280,2025-05-01 01:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17286,2025-05-01 02:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17292,2025-05-01 03:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17298,2025-05-01 04:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17304,2025-05-01 05:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17310,2025-05-01 06:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17316,2025-05-01 07:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17322,2025-05-01 08:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17328,2025-05-01 09:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17334,2025-05-01 10:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17340,2025-05-01 11:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17346,2025-05-01 12:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17352,2025-05-01 13:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17358,2025-05-01 14:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17364,2025-05-01 15:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17370,2025-05-01 16:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17376,2025-05-01 17:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17382,2025-05-01 18:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17388,2025-05-01 19:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17394,2025-05-01 20:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17400,2025-05-01 21:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17406,2025-05-01 22:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17412,2025-05-01 23:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17418,2025-05-02 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17424,2025-05-02 01:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17430,2025-05-02 02:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17436,2025-05-02 03:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17442,2025-05-02 04:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
